need_conf,vol_mult,trend_filter,max_day_tr,wick_min_pct,ret,n,wr,pf,dd
False,1.5,False,1,0.2,-43.46071279481816,537,29.608938547486037,0.9671085235686201,-64.86291555699276
False,1.5,False,1,0.35,-28.570015395572874,395,30.126582278481013,0.9760012159245454,-50.22896981989587
False,1.5,False,2,0.2,-47.30991071435721,607,29.32454695222405,0.9674429849127001,-66.99458984655865
False,1.5,False,2,0.35,-13.74943564504154,428,31.074766355140188,1.0207458752959662,-41.29619591425878
False,1.5,True,1,0.2,35.41701787374513,136,35.294117647058826,1.2373428656778769,-29.11218102144509
False,1.5,True,1,0.35,43.10654275318673,105,38.095238095238095,1.328707362731829,-25.604995767497567
False,1.5,True,2,0.2,38.050067119918694,145,35.86206896551724,1.2462487902176853,-27.14601375846278
False,1.5,True,2,0.35,44.14259259451242,107,38.31775700934579,1.3312025966636722,-25.60499576749762
False,2.0,False,1,0.2,-25.979209501775912,277,30.685920577617328,0.9566170421983667,-49.239736245847
False,2.0,False,1,0.35,-14.50733782195468,191,31.93717277486911,0.9735511355574797,-30.93157130433163
False,2.0,False,2,0.2,-33.88123011600735,294,29.931972789115648,0.9270131454189199,-52.807231025939736
False,2.0,False,2,0.35,-17.624922112415643,197,31.472081218274113,0.9580237259007808,-33.3648534656711
False,2.0,True,1,0.2,30.708291109177882,66,37.878787878787875,1.398939067671579,-17.44037953780421
False,2.0,True,1,0.35,25.899005811148907,50,38.0,1.4347949692132593,-13.059623805478909
False,2.0,True,2,0.2,32.6875519529303,67,38.80597014925373,1.4168355445492682,-17.44037953780421
False,2.0,True,2,0.35,27.805441664259593,51,39.21568627450981,1.458313953759012,-13.059623805478887
False,2.5,False,1,0.2,-22.601621412647027,146,31.506849315068493,0.8836205776018831,-42.714137311199984
False,2.5,False,1,0.35,-18.662793302208904,97,30.927835051546392,0.8516189786897086,-32.294193723746446
False,2.5,False,2,0.2,-24.418402636137007,148,31.08108108108108,0.8692782075119859,-42.71413731119997
False,2.5,False,2,0.35,-19.414485410894216,98,30.612244897959183,0.8439811487533289,-32.294193723746474
False,2.5,True,1,0.2,-4.17372603372045,39,38.46153846153847,0.9399991729908265,-19.03075835353477
False,2.5,True,1,0.35,-5.0052782708380255,28,39.285714285714285,0.8628309142114567,-13.366200034561562
False,2.5,True,2,0.2,-4.17372603372045,39,38.46153846153847,0.9399991729908265,-19.03075835353477
False,2.5,True,2,0.35,-5.0052782708380255,28,39.285714285714285,0.8628309142114567,-13.366200034561562
True,1.5,False,1,0.2,-19.906768161577748,148,27.7027027027027,0.8866804113513561,-33.7969748227411
True,1.5,False,1,0.35,-5.633673655039111,101,29.7029702970297,0.9922829222807827,-25.861202397974402
True,1.5,False,2,0.2,-30.03557633435973,161,26.08695652173913,0.8101724743404278,-39.921743307823746
True,1.5,False,2,0.35,-11.578055017000551,106,28.30188679245283,0.9318806075693299,-27.569576504596995
True,1.5,True,1,0.2,-3.440977690203708,33,30.303030303030305,0.9454267658205946,-11.856893093366894
True,1.5,True,1,0.35,0.5779089501095587,22,36.36363636363637,1.0705355168457407,-9.51737872315454
True,1.5,True,2,0.2,-3.440977690203708,33,30.303030303030305,0.9454267658205946,-11.856893093366894
True,1.5,True,2,0.35,0.5779089501095587,22,36.36363636363637,1.0705355168457407,-9.51737872315454
True,2.0,False,1,0.2,-19.48634589866605,75,24.0,0.7478049563678038,-23.43622017375616
True,2.0,False,1,0.35,-4.655362769251896,44,29.545454545454547,0.9437388496521056,-14.429408489687523
True,2.0,False,2,0.2,-21.086571797268626,77,24.675324675324674,0.7337033439904976,-25.225217713783422
True,2.0,False,2,0.35,-4.655362769251896,44,29.545454545454547,0.9437388496521056,-14.429408489687523
True,2.0,True,1,0.2,0.872793427841916,18,33.33333333333333,1.0888050928300839,-10.612517441667148
True,2.0,True,1,0.35,4.3404535869329814,12,41.66666666666667,1.3439798799325087,-8.23997457017701
True,2.0,True,2,0.2,0.872793427841916,18,33.33333333333333,1.0888050928300839,-10.612517441667148
True,2.0,True,2,0.35,4.3404535869329814,12,41.66666666666667,1.3439798799325087,-8.23997457017701
True,2.5,False,1,0.2,-20.92757271716822,43,23.25581395348837,0.5084435171804453,-21.976415760774014
True,2.5,False,1,0.35,-10.49748770065704,26,30.76923076923077,0.6407103384548393,-11.465047555514591
True,2.5,False,2,0.2,-20.92757271716822,43,23.25581395348837,0.5084435171804453,-21.976415760774014
True,2.5,False,2,0.35,-10.49748770065704,26,30.76923076923077,0.6407103384548393,-11.465047555514591
True,2.5,True,1,0.2,-5.399516587798589,11,36.36363636363637,0.599865153161288,-8.172922323040764
True,2.5,True,1,0.35,-1.086995308498099,8,50.0,0.9165455760190111,-6.7391849215289
True,2.5,True,2,0.2,-5.399516587798589,11,36.36363636363637,0.599865153161288,-8.172922323040764
True,2.5,True,2,0.35,-1.086995308498099,8,50.0,0.9165455760190111,-6.7391849215289
