entrada_time,salida_time,año,mes,precio_entrada,precio_e1,precio_e2,scale_hit,precio_salida,sl_price,tp1_price,tp2_price,resultado,pnl_usd,pnl_pct,capital,duracion_h,rango_imp,tp1_hit,rsi_entrada,macd_hist,adx_entrada,plus_di,adx_bucket,rsi_bucket
2021-10-12 06:00:00,2021-10-12 12:00:00,2021,2021-10,65991.25,66291.59,65390.56,True,64510.41,64510.41,67285.75,69874.77,SL,-124.67,-3.35,9872.08,6.0,8.02,False,47.4,-160.7544,15.7,30.1,,45-50
2021-11-03 16:00:00,2021-11-03 21:00:00,2021,2021-11,61174.66,61358.7,60806.57,True,59660.16,59660.16,61800.43,63051.98,SL,-132.04,-3.7,9740.05,5.0,3.15,False,54.1,-196.7963,18.6,23.8,,
2021-11-19 13:00:00,2021-11-19 21:00:00,2021,2021-11,69095.88,69284.86,68717.91,True,69095.88,69095.88,71392.05,75984.38,BE,93.47,2.49,9833.52,8.0,22.11,True,49.7,-347.9522,28.8,30.7,25-30,45-50
2021-11-22 07:00:00,2021-11-22 09:00:00,2021,2021-11,69907.04,70066.71,69587.7,True,69907.04,69907.04,70651.52,72140.47,BE,27.44,0.8,9860.96,2.0,4.56,True,54.4,-143.6583,24.1,30.0,,
2021-11-24 15:00:00,2021-11-26 05:00:00,2021,2021-11,72456.97,72456.97,,False,72456.97,72456.97,74689.64,79154.98,BE,49.3,1.54,9910.26,38.0,8.47,True,52.3,-32.9429,15.6,32.4,,50-52
2021-12-23 13:00:00,2021-12-23 16:00:00,2021,2021-12,34981.14,34982.53,34978.36,True,35818.3,34981.14,35260.19,35818.3,TP2,99.7,2.39,10009.96,3.0,5.93,True,51.4,-85.572,28.7,25.2,25-30,50-52
2022-03-17 18:00:00,2022-03-17 20:00:00,2022,2022-03,62451.36,62525.65,62302.78,True,61425.86,61425.86,63235.5,64803.79,SL,-123.13,-2.46,9886.83,2.0,7.7,False,52.6,91.4247,16.2,29.1,,50-52
2022-03-20 18:00:00,2022-03-21 02:00:00,2022,2022-03,60457.56,60584.24,60204.2,True,60457.56,60457.56,61539.23,63702.56,BE,66.19,1.34,9953.02,8.0,10.49,True,45.9,-266.2636,19.1,29.6,,45-50
2022-04-15 15:00:00,2022-04-15 17:00:00,2022,2022-04,48711.26,48753.77,48626.24,True,47767.71,47767.71,49026.24,49656.19,SL,-142.86,-2.9,9810.16,2.0,3.52,False,44.6,-198.0443,25.0,25.4,25-30,40-45
2022-04-23 18:00:00,2022-04-23 20:00:00,2022,2022-04,51661.71,51723.74,51537.64,True,51661.71,51661.71,52112.46,53013.96,BE,30.24,0.65,9840.41,2.0,4.74,True,52.9,-14.3904,22.0,34.8,,50-52
2022-08-12 16:00:00,2022-08-12 16:00:00,2022,2022-08,18994.61,18994.61,,False,18542.03,18542.03,19447.19,20352.35,SL,-98.4,-2.38,9742.0,0.0,6.15,False,42.6,-53.877,18.3,19.6,,40-45
2022-08-23 22:00:00,2022-08-23 23:00:00,2022,2022-08,22096.24,22103.33,22082.05,True,21626.13,21626.13,22372.15,22923.97,SL,-143.96,-3.19,9598.04,1.0,8.99,False,54.4,-57.8205,20.0,25.7,,
2022-08-25 18:00:00,2022-08-25 20:00:00,2022,2022-08,22778.95,22788.86,22759.12,True,22230.8,22230.8,22981.16,23385.59,SL,-141.41,-3.61,9456.63,2.0,6.02,False,47.9,-103.7471,21.9,27.4,,45-50
2022-09-20 06:00:00,2022-09-20 16:00:00,2022,2022-09,18298.41,18350.55,18194.13,True,18298.41,18298.41,18512.31,18940.11,BE,35.51,0.87,9492.14,10.0,4.5,True,53.2,-18.3804,18.7,27.2,,
2022-10-13 06:00:00,2022-10-13 06:00:00,2022,2022-10,20774.24,20774.24,,False,20340.33,20340.33,21208.15,22075.97,SL,-94.92,-2.09,9397.22,0.0,3.03,False,55.0,-20.5632,20.0,28.7,,
2022-10-25 21:00:00,2022-10-27 01:00:00,2022,2022-10,21493.55,21493.55,,False,22826.34,21493.55,21937.81,22826.34,TP2,187.94,4.13,9585.17,28.0,9.45,True,48.3,-42.0164,30.6,24.0,30-35,45-50
2022-12-26 17:00:00,2022-12-26 18:00:00,2022,2022-12,15711.69,15711.69,,False,15340.6,15340.6,16082.78,16824.97,SL,-95.85,-2.36,9489.31,1.0,3.87,False,54.0,-24.7416,29.8,32.4,25-30,
